"","Name.Final_research","Name.Final_practitioner","tool_name","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","Strategies.the.tool.can.support","DIMEL","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","greater_practitioner","lesser_practitioner","no_mixed_practitioner","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final_research","Description.Final_practitioner","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific"
"123","Indirect mediation",NA,"Mediation",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Indirect mediation","Indirect_mediation","The mediation effort is indirect.","Direct mediation","The mediation effort is direct.","Design","Mediation factors",NA,NA,NA,NA,NA,NA,0,"The mediation effort is indirect.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"124","Neighbor implementer",NA,"Mediation",5,2,0,3,1,0.25,0,5,0,0,0,2,0,3,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Neighbor implementer","Neighbor implementer","The target and the tool implementer are in the same region or members of the same regional organization.","Non-neighbor implementer","The target and the tool implementer are not in the same region or members of the same regional organization.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The target and the tool implementer are in the same region or members of the same regional organization.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"125","Domestic cooperation or consent with the tool",NA,"Prosecutions",8,8,0,0,7,7,0,8,6,0,0,2,0,0,"Conflict, Mass atrocities","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Domestic cooperation or consent with the tool","Cooperation_consent","The country under study cooperates with the tool.","No domestic cooperation with the tool","The country under study does not cooperate with the tool or the tool implementer.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,0,"The country under study cooperates with the tool.",NA,"Stronger",NA,"Relatively strong",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"126","Non-international prosecution",NA,"Prosecutions",5,3,0,2,-3,2.5,0,5,3,0,0,0,0,2,"Conflict, Mass atrocities","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","International prosecution","International prosecution","The prosecution is driven by an international body.","Non-international prosecution","The prosecution is not driven by an international body.","Design","Prosecutions factors",NA,NA,NA,NA,NA,NA,1,"The prosecution is not driven by an international body.",NA,"Moderate",NA,"Moderate",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"127","Local outreach",NA,"Prosecutions",6,6,0,0,6,6,0,6,6,0,0,0,0,0,"Mass atrocities","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Local outreach","Local outreach","The tool implementer makes efforts to reach out to local communities or the host government to build better relationships.","Absence of local outreach","The tool implementer makes no efforts to reach out to local communities or the host government to build better relationships.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool implementer makes efforts to reach out to local communities or the host government to build better relationships.",NA,"Stronger",NA,"Relatively strong",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"128","Democracy",NA,"Prosecutions",3,0,0,3,0,0,0,3,0,0,0,0,0,3,"Conflict, Human rights violations","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Democracy","Democracy","The country under study is a democracy. (Note - For our review, we assume that findings associated with autocracy or authoritarian regime type can be considered equivalent to findings associated with the absence of democracy.)","Autocracy or authoritarian regime","The country under study is an autocracy or authoritarian regime.","Contextual","Domestic context ",NA,NA,NA,NA,NA,NA,0,"The country under study is a democracy. (Note - For our review, we assume that findings associated with autocracy or authoritarian regime type can be considered equivalent to findings associated with the absence of democracy.)",NA,"Weaker",NA,"Relatively weak",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"129","Member of the implementing institution",NA,"Comprehensive economic sanctions",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions are “coercive economic measures taken against a target to bring about a change in behavior” (CRS 2021, p. 1). Comprehensive sanctions “block the government and include broad-based trade restrictions” (Treasury OFAC).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities","Economic, Legal","Member of the implementing institution","Member of the implementing institution","The target is a member of the implementing institution.","Non-member of the implementing institution.","The target is not a member of the implementing institution.","Contextual","Target characteristics",NA,NA,NA,NA,NA,NA,0,"The target is a member of the implementing institution.",NA,"Weaker",NA,"Relatively weak",NA,"Comprehensive economic sanctions_tool",1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"130","Awareness of tool",NA,"Official amnesties",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An official amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If official amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Awareness of tool","Awareness_tool","The target is aware that the tool is being implemented.","Unawareness of tool","The target is not aware that the tool is being implemented","Contextual","Target characteristics",NA,NA,NA,NA,NA,NA,0,"The target is aware that the tool is being implemented.",NA,"Weaker",NA,"Relatively weak",NA,"Amnesties_tool",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"131","Weak non-state armed group",NA,"Official amnesties",2,2,0,0,-1,1,0,2,0,0,0,2,0,0,"Conflict, Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An official amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If official amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Strong non-state armed group","Strong NSAG","Non-state armed group(s) are strong or have a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak non-state armed group","The non-state armed group in the conflict is weak and has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,1,"The non-state armed group in the conflict is weak and has a low degree of resilience, adaptability, military experience, power, or territorial control.",NA,"Weaker",NA,"Relatively weak",NA,"Amnesties_tool",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"132","Concurrent use of multiple tools",NA,"Official amnesties",4,2,0,2,1,0.5,0,4,0,0,0,2,0,2,"Conflict","The official barring of legal proceedings against certain individuals or groups","An official amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If official amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Concurrent use of multiple tools","Multi_tool","The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.","Single tool","No actors are implementing tools that are consistent with the goals of the tool.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.",NA,"Weaker",NA,"Relatively weak",NA,"Amnesties_tool",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"133","No safe haven for perpetrator",NA,"Official amnesties",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An official amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If official amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Safe haven for perpetrator","Safe haven for perpetrator","Perpetrator(s) of mass atrocities very likely have access to territory where they would be shielded from the tool's effects.","No safe haven for perpetrator","There is a low likelihood that the perpetrator of mass atrocities has access to territory that shields them from the tool's effects.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,1,"There is a low likelihood that the perpetrator of mass atrocities has access to territory that shields them from the tool's effects.",NA,"Weaker",NA,"Relatively weak",NA,"Amnesties_tool",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"134","Implementer has strong leverage",NA,"Official amnesties",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","The official barring of legal proceedings against certain individuals or groups","An official amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If official amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Implementer has strong leverage","Implementer leverage","The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.","Implementer has weak leverage","The tool implementer (1) has a low degree of relative power in the international system, (2) is not a member of the “Permanent Five” (P5) countries on the UN Security Council, or (3) has weak leverage over the conflict parties","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.",NA,"Weaker",NA,"Relatively weak",NA,"Amnesties_tool",1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"135","International support or coordination",NA,"Arms embargoes",6,6,0,0,3,3,0,6,0,0,0,6,0,0,"Conflict","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities","Military, Economic","International support or coordination","International support or coordination","There is a high degree of international support for the use of the tool, or the tool implementer coordinates with other international actors on the use of the tool.","Lack of international support or coordination","There is a low degree of international support for the use of the tool, or the tool implementer does not coordinate with other international actors on the use of the tool.","Design","International dynamics",NA,NA,NA,NA,NA,NA,0,"There is a high degree of international support for the use of the tool, or the tool implementer coordinates with other international actors on the use of the tool.",NA,"Moderate",NA,"Moderate",NA,"Arms embargoes_tool",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"136","Committed implementer",NA,"Arms embargoes",5,5,0,0,2.5,2.5,0,5,0,0,0,5,0,0,"Conflict","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities","Military, Economic","Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",NA,"Moderate",NA,"Moderate",NA,"Arms embargoes_tool",1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"137","Absence of external assistance or foreign troops",NA,"Arms embargoes",4,4,0,0,-2,2,0,4,0,0,0,4,0,0,"Conflict","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities","Military, Economic","External assistance or foreign troops","External_assistance","There are foreign troops active in the ongoing conflict situation or external actors are offering assistance to the conflict parties.","Absence of external assistance or foreign troops","There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,1,"There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.",NA,"Moderate",NA,"Moderate",NA,"Arms embargoes_tool",1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"138","Domestic prosecution",NA,"Prosecutions",5,3,0,2,3,2.5,0,5,3,0,0,0,0,2,"Conflict, Human rights violations, Mass atrocities","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Domestic prosecution","Domestic prosecution","The prosecution is driven by a domestic court system.","Non-domestic prosecution","The prosecution is not driven by a domestic court system.","Design","Prosecutions factors",NA,NA,NA,NA,NA,NA,0,"The prosecution is driven by a domestic court system.",NA,"Moderate",NA,"Moderate",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"139","Implementer has strong leverage",NA,"Comprehensive economic sanctions",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions are “coercive economic measures taken against a target to bring about a change in behavior” (CRS 2021, p. 1). Comprehensive sanctions “block the government and include broad-based trade restrictions” (Treasury OFAC).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities","Economic, Legal","Implementer has strong leverage","Implementer leverage","The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.","Implementer has weak leverage","The tool implementer (1) has a low degree of relative power in the international system, (2) is not a member of the “Permanent Five” (P5) countries on the UN Security Council, or (3) has weak leverage over the conflict parties","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.",NA,"Weaker",NA,"Relatively weak",NA,"Comprehensive economic sanctions_tool",1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"140","Safe haven for perpetrator",NA,"Prosecutions",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","Safe haven for perpetrator","Safe haven for perpetrator","Perpetrator(s) of mass atrocities very likely have access to territory where they would be shielded from the tool's effects.","No safe haven for perpetrator","There is a low likelihood that the perpetrator of mass atrocities has access to territory that shields them from the tool's effects.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,0,"Perpetrator(s) of mass atrocities very likely have access to territory where they would be shielded from the tool's effects.",NA,"Weaker",NA,"Relatively weak",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"141","Highly developed state",NA,"Development assistance",5,2,2,1,0,0,0,5,0,0,0,2,2,1,"Conflict, Violence against civilians","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Highly developed state","Highly developed state","The country under study is highly developed.","Less developed state","The country under study is not highly developed.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,0,"The country under study is highly developed.",NA,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"142","Target lacks access to resources",NA,"Development assistance",3,2,1,0,-0.5,0.5,0,3,0,0,0,2,1,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Target has access to resources","Access to resources","The target has access to resources, such as oil or gemstones.","Target lacks access to resources","The target lacks access to resources, such as oil or gemstones, to continue the conflict.","Contextual","Target characteristics",NA,NA,NA,NA,NA,NA,1,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",NA,"Weaker",NA,"Relatively weak",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"143","State target",NA,"Prosecutions",3,1,1,1,0,0,0,3,0,0,0,1,1,1,"Conflict","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Legal","State target","State target","The target is a state actor or state group.","Non-state target","The target is a non-state actor or non-state group.","Design","Target characteristics",NA,NA,NA,NA,NA,NA,0,"The target is a state actor or state group.",NA,"Weaker",NA,"Relatively weak",NA,"Prosecutions_tool",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"144","Mediation excludes spoilers",NA,"Mediation",3,3,0,0,1.5,1.5,0,3,0,0,0,3,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Mediation excludes spoilers","Exclusion of spoilers","Spoiler groups are excluded from the mediation coalition.","Mediation includes spoilers","Spoiler groups are included in the mediation coalition.","Design","Mediation factors",NA,NA,NA,NA,NA,NA,0,"Spoiler groups are excluded from the mediation coalition.",NA,"Moderate",NA,"Moderate",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
