"","article_index","full_citation","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"369","Security Assistance.03","Watts, Stephen; Johnston, Trevor; Lane, Matthew; Mann, Sean; McNerney, Michael J; Brooks, Andrew. *Building Security in Africa: An Evaluation of U.S. Security Sector Assistance in Africa from the Cold War to the Present*. RAND Corporation, 2018.","P7MDKBR4","report",2018,"Watts, Stephen; Johnston, Trevor; Lane, Matthew; Mann, Sean; McNerney, Michael J; Brooks, Andrew","Building Security in Africa: An Evaluation of U.S. Security Sector Assistance in Africa from the Cold War to the Present","","","","","http://proxygw.wrlc.org/login?url=https://search.proquest.com/docview/2115109620?accountid=11243","The United States has sought to combat security threats in Africa principally by supporting partner governments, and security sector assistance (SSA) has been one of the primary tools it has used. Rigorous evaluations of the overall impact of SSA, however, have been extremely rare. A RAND Corporation study used statistical models to evaluate the impact that U.S.-provided SSA has had on political violence in Africa --- in particular, the incidence of civil wars and insurgencies, terrorist attacks, and state repression. The authors found that SSA has had a mixed record. During the Cold War, SSA likely exacerbated instability, leading to a higher incidence of civil wars. During the post-Cold War era, it seems to have had little net effect, likely reflecting recipient-government failures to sustain the capabilities developed through SSA and to harness these capability gains to effective political-military strategies. When SSA has been implemented in conjunction with peacekeeping operations, however, it has had a consistently positive impact across a range of outcomes, including the likelihood of civil war recurrence, the incidence of terrorist attacks, and the extent of state repression. These findings have important implications for future U.S. policies in Africa and potentially beyond.","2018","2020-06-23 11:48:31","2022-03-28 06:43:46","","",NA,"",NA,NA,"","","",NA,NA,"","RAND Corporation","","English",NA,"","Policy File Index; Politics Collection","2115109620","","",NA,"",NA,"Africa; Foreign aid; International cooperation; National security; International; Centrist; Developing countries--LDCs; U.S. Foreign; Societal; U.S. Domestic; Security & Military; Scientific, Technical and Medical; RAND Corporation","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Security Assistance.01","Dube, Oeindrila; Naidu, Suresh. ""Bases, Bullets, and Ballots: The Effect of US Military Aid on Political Conflict in Colombia,"" *Journal of Politics*, vol. 77, no. 1 (2015), 249-267, DOI: ","WRG38V5Y","journalArticle",2015,"Dube, Oeindrila; Naidu, Suresh","Bases, Bullets, and Ballots: The Effect of US Military Aid on Political Conflict in Colombia","Journal of Politics","","00223816","","http://silk.library.umass.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=24h&AN=100365817&site=ehost-live&scope=site","Does foreign military assistance strengthen or further weaken fragile states facing internal conflict? Aid may strengthen the state by bolstering its repressive capacity vis-à-vis armed nonstate actors or weaken it if resources are diverted to these very groups. We examine how US military aid affects political violence in Colombia. We exploit the allocation of US military aid to Colombian military bases and compare how aid affects municipalities with and without bases. We use an instrument based on worldwide increases in US military aid (excluding Latin America). We find that US military assistance leads to differential increases in attacks by paramilitaries but has no effect on guerilla attacks. Aid also results in more paramilitary (but not guerrilla) homicides during election years, particularly in politically competitive municipalities. The findings suggest that foreign military assistance may strengthen armed nonstate actors, undermining domestic political institutions. [ABSTRACT FROM AUTHOR]","2015-01","2020-05-28 14:56:27","2022-03-28 06:41:49","","249-267",NA,"1",77,NA,"Journal of Politics","","",NA,NA,"","","","",NA,"","24h","","EBSCOhost","",NA,"",NA,"Colombia; conflict; military aid; paramilitaries; MILITARY assistance; RESISTANCE to government; COLOMBIA -- Politics & government; PARAMILITARY forces; AMERICAN military assistance; MILITARY bases","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","Foreign Assistance.05","Jadoon, Amira. ""Persuasion and Predation: The Effects of U.S. Military Aid and International Development Aid on Civilian Killings,"" *Studies in Conflict & Terrorism*, vol. 41, no. 10 (2018), 776-800, DOI: 10.1080/1057610X.2017.1353355","ASBT7T5Z","journalArticle",2018,"Jadoon, Amira","Persuasion and Predation: The Effects of U.S. Military Aid and International Development Aid on Civilian Killings","Studies in Conflict & Terrorism","","","10.1080/1057610X.2017.1353355","","","2018","2022-03-28 04:35:36","2022-03-28 06:39:01","","776-800",NA,"10",41,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","Security Assistance.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Foreign Assistance.72","Weintraub, Michael. ""Do All Good Things Go Together? Development Assistance and Insurgent Violence in Civil War.,"" *Journal of Politics*, vol. 78, no. 4 (2016), 989-1002, DOI: ","CVYWFHZJ","journalArticle",2016,"Weintraub, Michael","Do All Good Things Go Together? Development Assistance and Insurgent Violence in Civil War.","Journal of Politics","","00223816","","http://search.ebscohost.com/login.aspx?direct=true&db=24h&AN=118437995&site=ehost-live&scope=site","International organizations and national governments deliver billions of dollars in development assistance each year to citizens in ongoing insurgencies. Existing work shows that development assistance shapes insurgent violence, yet underspecified mechanisms and a failure to test all competing explanations have hampered knowledge cumulation. This article proposes a new theory of insurgent territorial loss to argue that development assistance should increase overall violence by insurgents, and indiscriminate violence in particular. Anti-poverty subsidies incentivize information sharing with the government, increasing incumbent territorial control and forcing insurgents to rely on increased and more indiscriminate violence to recapture territory. A difference-in-differences identification strategy combined with matching tests all existing mechanisms against one another in the context of a conditional cash transfer program in Colombia. The empirics provide support for the territorial loss mechanism, while competing explanations do not find support. Development assistance frequently produces welfare gains yet may also lead to increased insurgent violence. [ABSTRACT FROM AUTHOR]","2016","2020-10-27 19:17:19","2022-03-28 06:36:54","","989-1002",NA,"4",78,NA,"Journal of Politics","","",NA,NA,"","","","",NA,"","24h","","EBSCOhost","",NA,"",NA,"INSURGENCY; POLITICAL violence; COLOMBIA; FUERZAS Armadas Revolucionarias de Colombia; ECONOMIC development; CONDITIONAL cash transfer programs; DEVELOPMENT assistance program administration; ECONOMIC development projects","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Foreign Assistance.71","Parks, Thomas; Colletta, Nat; Oppenheim, Ben. *The Contested Corners of Asia: Subnational Conflict and International Development Assistance*. The Asia Foundation, 2013.","DJBK9VN3","report",2013,"Parks, Thomas; Colletta, Nat; Oppenheim, Ben","The Contested Corners of Asia: Subnational Conflict and International Development Assistance","","","","","","","2013","2022-03-28 06:31:45","2022-03-28 06:33:24","","",NA,"",NA,NA,"","","",NA,NA,"","The Asia Foundation","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Foreign Assistance.67","Nourou, Mohammadou. ""Foreign Aid and Development: The Civil Conflict Channel Reexamined,"" *International Economic Journal*, vol. 34, no. 1 (2020), 1-15, DOI: 10.1080/10168737.2019.1663438","6C5MDWPF","journalArticle",2020,"Nourou, Mohammadou","Foreign Aid and Development: The Civil Conflict Channel Reexamined","International Economic Journal","","","10.1080/10168737.2019.1663438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073780349&doi=10.1080%2f10168737.2019.1663438&partnerID=40&md5=ef898c10793a0adda12b40351df7cc44","Literature on civil conflict effect of foreign aid provides contradictory findings. Some studies find a conflict-reducing effect of aid while for others aid sparks violent conflicts. Another strand of the literature reports the lack of any systematic and robust link between aid and conflict. The aim of this paper is to look beyond this debate on the effect of the volume of aid by investigating whether the volatility of aid could have any independent explanatory power in this empirical literature. Using a logit model of conflict onset on a panel of 130 developing countries from 1974 to 2005, I find that aid per se could have negative, positive or no-effect on conflict outbreak while the volatility of aid positively affects the risk of conflict. This latter result has proven to be robust to some extensions of the econometric model. Therefore, the volatility of aid is an important variable in the determination of aid’s impact on the risk of civil conflict. Consequently, analyses of development effects of aid must consider not only aid per se but also the dynamic behavior of this variable; particularly its volatility. © 2020, © 2020 Korea International Economic Association.","2020","2020-10-27 19:24:28","2022-03-28 06:26:11","","1-15",NA,"1",34,NA,"","","",NA,NA,"","","","",NA,"","Scopus","","","",NA,"",NA,"conflict; Aid; developing countries; volatility","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Foreign Assistance.65","Zürcher, Christoph. ""The folly of “aid for stabilisation”,"" *Third World Quarterly*, vol. 40, no. 5 (2019), 839–854, DOI: ","U6V6S4R9","journalArticle",2019,"Zürcher, Christoph","The folly of “aid for stabilisation”","Third World Quarterly","","","","","","2019","2022-03-28 06:22:36","2022-03-28 06:24:10","","839–854",NA,"5",40,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Foreign Assistance.64","Mary, Sébastien; Mishra, Ashok K.. ""Humanitarian food aid and civil conflict,"" *World Development*, vol. 126, no.  (2020), , DOI: ","ZC2PKQWU","journalArticle",2020,"Mary, Sébastien; Mishra, Ashok K.","Humanitarian food aid and civil conflict","World Development","","","","https://doi.org/10.1016/j.worlddev.2019.104713","","2020","2022-03-28 06:20:17","2022-03-28 06:21:33","","",NA,"",126,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","Foreign Assistance.62","Nunn, Nathan; Qian, Nancy. ""US Food Aid and Civil Conflict,"" *The American Economic Review*, vol. 104, no. 6 (2014), 1630-1666, DOI: 10.1257/aer.104.6.1630","7S2MCM9N","journalArticle",2014,"Nunn, Nathan; Qian, Nancy","US Food Aid and Civil Conflict","The American Economic Review","","","10.1257/aer.104.6.1630","","We study the effect of US food aid on conflict in recipient countries. Our analysis exploits time variation in food aid shipments due to changes in US wheat production and cross-sectional variation in a country's tendency to receive any US food aid. According to our estimates, an increase in US food aid increases the incidence and duration of civil conflicts, but has no robust effect on interstate conflicts or the onset of civil conflicts. We also provide suggestive evidence that the effects are most pronounced in countries with a recent history of civil conflict. (JEL D74, F35, O17, O19, Q11, Q18)","2014-06","2020-11-01 20:32:54","2022-03-28 06:18:02","","1630-1666",NA,"6",104,NA,"","","",NA,NA,"","","","English",NA,"","Social Science Database","1529179891","","",NA,"",NA,"Civil war; Studies; Business And Economics; United States--US; Humanitarian aid; 1210:Politics & political behavior; 9190:United States; 9130:Experimental/theoretical; Food supply; 1130:Economic theory; Agricultural economics","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Foreign Assistance.57","Sindre, Gyda Maras. ""Rebels and Aid in the Context of Peacebuilding and Humanitarian Disaster: A Comparison of the Free Aceh Movement (GAM) and the Tamil Tigers (LTTE),"" *Forum for Development Studies*, vol. 41, no. 1 (2014), 1-21, DOI: ","HWD2A22U","journalArticle",2014,"Sindre, Gyda Maras","Rebels and Aid in the Context of Peacebuilding and Humanitarian Disaster: A Comparison of the Free Aceh Movement (GAM) and the Tamil Tigers (LTTE)","Forum for Development Studies","","","","http://dx.doi.org/10.1080/08039410.2013.832704","","2014","2022-03-28 05:50:54","2022-03-28 06:15:55","","1-21",NA,"1",41,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Foreign Assistance.56","Huliaras, Asteris. ""Foreign aid to the Balkans (1990–2010): the dynamics of the ‘silent’ human security agenda,"" *Southeast European and Black Sea Studies*, vol. 11, no. 4 (2011), 421-434, DOI: 10.1080/14683857.2011.632543","RQBVEXC9","journalArticle",2011,"Huliaras, Asteris","Foreign aid to the Balkans (1990–2010): the dynamics of the ‘silent’ human security agenda","Southeast European and Black Sea Studies","","","10.1080/14683857.2011.632543","","","2011","2022-03-28 05:50:53","2022-03-28 06:12:43","","421-434",NA,"4",11,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Foreign Assistance.51","Savun, B.; Tirone, D.C.. ""Foreign Aid, Democratization, and Civil Conflict: How Does Democracy Aid Affect Civil Conflict?,"" *American Journal of Political Science*, vol. 55, no. 2 (2011), 233-246, DOI: 10.1111/j.1540-5907.2010.00501.x","THWHM9YP","journalArticle",2011,"Savun, B.; Tirone, D.C.","Foreign Aid, Democratization, and Civil Conflict: How Does Democracy Aid Affect Civil Conflict?","American Journal of Political Science","","","10.1111/j.1540-5907.2010.00501.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953286163&doi=10.1111%2fj.1540-5907.2010.00501.x&partnerID=40&md5=ba1ff5ffb6df1f3eae0a07df01a3ab0c","It has been suggested that democratizing states are prone to civil wars. However, not all democratizing states experience domestic political violence. We argue that one of the key factors that ""shelters"" some democratizing states from domestic political violence is the receipt of democracy aid. Democratizing states that receive high levels of democracy assistance are less likely to experience civil conflict than countries that receive little or no external democracy assistance. During democratic transitions, the central authority weakens and uncertainty about future political commitments and promises among domestic groups increases. Democracy aid decreases the risk of conflict by reducing commitment problems and uncertainty. Using an instrumental variables approach that accounts for potential endogeneity problems in aid allocation, we find empirical support for our argument. We conclude that there is a potential path to democracy that ameliorates the perils of democratization, and democracy assistance programs can play a significant positive role in this process. ©2011, Midwest Political Science Association.","2011","2020-10-27 19:35:52","2022-03-28 06:08:17","","233-246",NA,"2",55,NA,"","","",NA,NA,"","","","",NA,"","Scopus","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Foreign Assistance.50","Nielsen, Richard A.; Findley, Michael G.; Davis, Zachary S.; Candland, Tara; Nielson, Daniel L.. ""Foreign Aid Shocks as a Cause of Violent Armed Conflict,"" *American Journal of Political Science*, vol. 55, no. 2 (2011), 219-232, DOI: 10.1111/j.1540-5907.2010.00492.x","QSPAIU6V","journalArticle",2011,"Nielsen, Richard A.; Findley, Michael G.; Davis, Zachary S.; Candland, Tara; Nielson, Daniel L.","Foreign Aid Shocks as a Cause of Violent Armed Conflict","American Journal of Political Science","","","10.1111/j.1540-5907.2010.00492.x","","In this study we resolve part of the confusion over how foreign aid affects armed conflict. We argue that aid shocks-severe decreases in aid revenues-inadvertently shift the domestic balance of power and potentially induce violence. During aid shocks, potential rebels gain bargaining strength vis-a-vis the government. To appease the rebels, the government must promise future resource transfers, but the government has no incentive to continue its promised transfers if the aid shock proves to be temporary. With the government unable to credibly commit to future resource transfers, violence breaks out. Using AidData's comprehensive dataset of bilateral and multilateral aid from 1981 to 2005, we evaluate the effects of foreign aid on violent armed conflict. In addition to rare-event logit analysis, we employ matching methods to account for the possibility that aid donors anticipate conflict. The results show that negative aid shocks significantly increase the probability of armed conflict onset.","2011-04","2020-11-02 13:41:07","2022-03-28 06:04:05","","219-232",NA,"2",55,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Foreign Assistance.48","Narang, Neil. ""Humanitarian Assistance and the Duration of Peace after Civil War,"" *Journal of Politics*, vol. 76, no. 2 (2014), 446-460, DOI: 10.1017/S0022381613001382","26ZH7XGM","journalArticle",2014,"Narang, Neil","Humanitarian Assistance and the Duration of Peace after Civil War","Journal of Politics","","","10.1017/S0022381613001382","https://www.jstor.org/stable/10.1017/s0022381613001382","The principles of humanitarian assistance dictate that aid be distributed in accordance with need while remaining neutral with respect to the political stakes. However, these principles have unique implications in the postconflict context, where need is often correlated with opponents' performance in the previous contest. In these cases, humanitarian assistance is likely to be biased towards the conflict loser. Using a crisis-bargaining framework, this article describes a simple logic for how humanitarian aid can inadvertently undermine peace by creating a revisionist party with the incentive to renegotiate the postwar settlement. The empirical expectations of the theory are tested using a panel dataset of cross-national humanitarian aid expenditures in civil conflicts since the end of the Cold War. As the theory predicts, postconflict states treated with higher levels of humanitarian assistance exhibit shorter spells of peace; however, this effect only occurs after conflicts that ended with a decisive victory.","2014","2020-11-02 13:37:49","2022-03-28 06:01:37","","446-460",NA,"2",76,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Foreign Assistance.47","Meininghaus, Esther. ""Humanitarianism in intra-state conflict: aid inequality and local governance in government- and opposition-controlled areas in the Syrian war,"" *Third World Quarterly*, vol. NA, no.  (2016), 1-29, DOI: 10.1080/01436597.2016.1159509","VMQ5DAQX","journalArticle",2016,"Meininghaus, Esther","Humanitarianism in intra-state conflict: aid inequality and local governance in government- and opposition-controlled areas in the Syrian war","Third World Quarterly","","","10.1080/01436597.2016.1159509","","This article argues that humanitarian aid in intra-state conflict plays a crucial but largely unrecognised role in shaping the preconditions for negotiations for peace and post-conflict reconstruction. Drawing on a spatial theory approach, it identifies the role of humanitarian aid as not being temporary and independent, but as forming an integral part of the daily lives of local communities and of continuously evolving structures of governance during conflict. As a result, significant imbalances in the distribution of aid between different geographical areas, as highlighted in the current Syrian war, threaten not only the immediate survival of civilians, but also their future.","2016","2020-11-02 12:26:25","2022-03-28 05:59:43","","1-29",NA,"",NA,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Foreign Assistance.46","Nadia Tahir. ""Does aid cause conflict in Pakistan?,"" *Defence and Peace Economics*, vol. NA, no.  (2015), 1-24, DOI: 10.1080/10242694.2014.1000007","GTTJ553A","journalArticle",2015,"Nadia Tahir","Does aid cause conflict in Pakistan?","Defence and Peace Economics","","","10.1080/10242694.2014.1000007","","This study provides evidence from Pakistan on how the delegated task of achieving strategic objectives of the donor can lead to incompatibility of aid objectives which then generates perpetual and multidimensional domestic conflict in the recipient society. We use count data method to estimate the relationship between aid and conflict. At the aggregate level, social sector spending, regime change and youth bulge are positively and significantly related with conflict. However, aid per capita gives ambiguous results. It is significant with conflict count in the terrorism data-set and insignificant for data on armed conflict. Inclusion of youth bulge and unemployment rate confirms the marginalization hypothesis of conflict. Inflation rate and the tax variables are insignificant. This confirms that aid erodes fiscal capacity. At project-level data, conflict is strongly related with aid commitment and purpose. Discrepancy in aid allocation and commitment may accentuate conflict.","2015","2020-11-02 12:54:47","2022-03-28 05:57:12","","1-24",NA,"",NA,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Foreign Assistance.45","Karell, Daniel; Schutte, Sebastian. ""Aid, exclusion, and the local dynamics of insurgency in Afghanistan,"" *JOURNAL OF PEACE RESEARCH*, vol. 55, no. 6 (2018), 711-725, DOI: 10.1177/0022343318777566","KB66WY7C","journalArticle",2018,"Karell, Daniel; Schutte, Sebastian","Aid, exclusion, and the local dynamics of insurgency in Afghanistan","JOURNAL OF PEACE RESEARCH","","0022-3433","10.1177/0022343318777566","","Can developmental aid bring peace to war-torn communities? The current literature is divided on this issue. One line of reasoning suggests that aid is likely to decrease violence by improving employment and prosperity, thereby making participation in conflict more costly. Another view cites evidence showing an association between aid projects and increased insurgent activity. Addressing this contradiction, we argue that different types of aid projects lead to different outcomes, as some projects foster an unequal distribution of benefits within communities. Our reasoning draws on qualitative accounts from conflict zones, recent research on how grievances associated with exclusion can foster civil war onset, and experimental findings regarding perceived inequity and punishment. Building on this scholarship, we use a recently developed event-matching methodology to offer insight from contemporary Afghanistan. Aid projects that tend to exclude portions of the community yield more insurgent activity in their wake than more inclusive projects. These results shed light on why some aid projects reduce violence while others do not, emphasizing that efforts to win hearts and minds' can be a source of both contentment and contestation.","2018-11","2020-11-02 12:47:58","2022-03-28 05:53:44","","711-725",NA,"6",55,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Foreign Assistance.44","Lyall, Jason. *Civilian Casualties and the Conditional Effects of Humanitarian Aid in Wartime∗*. , 2016.","KKM2PRQE","report",2016,"Lyall, Jason","Civilian Casualties and the Conditional Effects of Humanitarian Aid in Wartime∗","","","","","","","2016","2022-03-28 05:50:54","2022-03-28 05:52:28","","1-57",NA,"",NA,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Foreign Assistance.43","Braithwaite, Jessica Maves; Licht, Amanda Abigail. ""The Effect of Civil Society Organizations and Democratization Aid on Civil War Onset,"" *JOURNAL OF CONFLICT RESOLUTION*, vol. 64, no. 6 (2020), 1095-1120, DOI: 10.1177/0022002719888684","8QXXKYKJ","journalArticle",2020,"Braithwaite, Jessica Maves; Licht, Amanda Abigail","The Effect of Civil Society Organizations and Democratization Aid on Civil War Onset","JOURNAL OF CONFLICT RESOLUTION","","0022-0027","10.1177/0022002719888684","","A growing literature identifies both situations where aid promotes peace and those where aid encourages violence. Specifically, research shows lower probability of conflict onset in democratizing states receiving high levels of democracy assistance. However, theorizing has overlooked important actors who have agency in spending such aid: civil society organizations (CSOs). We posit that the status of civil society within recipient states conditions the effect of democracy aid inflows on conflict probability. Using an instrumental variables approach to account for endogeneity between aid allocation and conflict propensity, we find that democracy aid is destabilizing when directed to environments where CSOs are weak and poorly connected to the regime and thus are less willing and able to seek change through peaceful means. When civil society is stronger and more institutionalized, however, larger democracy aid flows pose less threat.","2020","2020-11-02 12:42:21","2022-03-28 05:48:08","","1095-1120",NA,"6",64,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Foreign Assistance.42","De Juan, Alexander. ""Heterogeneous Effects of Development Aid on Violent Unrest in Postwar Countries: Village-Level Evidence from Nepal,"" *INTERNATIONAL STUDIES QUARTERLY*, vol. 64, no.  (2020), 168-182, DOI: 10.1093/isq/sqz090","2MS7ENNP","journalArticle",2020,"De Juan, Alexander","Heterogeneous Effects of Development Aid on Violent Unrest in Postwar Countries: Village-Level Evidence from Nepal","INTERNATIONAL STUDIES QUARTERLY","","0020-8833","10.1093/isq/sqz090","","Many countries experience massive aid surges when civil wars end. However, operational contexts tend to remain particularly sensitive due to a combination of persisting local-level cleavages and low-quality state institutions. Consequently, aid provision risks inciting distributional conflicts and violent unrest-most notably when resources are injected into areas of high social heterogeneity or particularly weak state administration. I investigate this argument in the case of postwar Nepal. I combine geo-coded aid data with village-level information on various forms of violent unrest, as well as on social demographics and institutional quality. The panel analyses indicate positive short-term effects of aid on social unrest. More fine-grained estimations reveal that this effect is driven by a short-term escalation of violence against nonstate actors-in particular in ethnically fractionalized villages under the administration of weakly performing local-level state institutions. Descriptive cross-country analyses indicate that aid may have similar violence-inducing effects in other postwar contexts.","2020","2020-11-02 12:39:59","2022-03-28 05:45:55","","168-182",NA,"",64,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
