"","Name.Final","tool_name","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final","vote_count","research_qualitative","practitioner_qualitative","Dedoose.name_tool"
"64","Flexibility and linkage to behavior","Prosecutions",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict, Mass atrocities, Violence against civilians","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Flexibility and linkage to behavior","Flexibility_and_linkage_to_behavior","The use of the tool is flexible and linked to the behavior of the target--i.e., if the target improves their behavior, the tool is lifted.","Inflexibility and no linkage to behavior","The use of the tool is inflexible and not linked to the behavior of the target--i.e., if the target improves their behavior, the tool is not lifted.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The use of the tool is flexible and linked to the behavior of the target--i.e., if the target improves their behavior, the tool is lifted.",1,"Weaker",NA,"Prosecutions_tool"
"65","Observer mission","Peace operations",19,4,9,6,-2.5,-1,0,19,0,0,0,4,9,6,"Conflict, Human rights violations, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Observer mission","Observer mission","The peace operation is an observer mission or has a traditional mandate that includes principles of consent, neutrality, or minimal use of force.",NA,NA,"Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The peace operation is an observer mission or has a traditional mandate that includes principles of consent, neutrality, or minimal use of force.",-1,"Weaker",NA,"Peace operations_tool"
"66","High quantity of troops","Peace operations",38,32,0,6,17,15.5,0,38,2,0,0,30,0,6,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"High quantity of troops","Large_force","The peacekeeping or intervening military force is large in size.","Small peacekeeping or intervening military force","The peacekeeping or intervening military force is small in size.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The peacekeeping or intervening military force is large in size.",15.5,"Stronger",NA,"Peace operations_tool"
"67","Member of the implementing institution","Comprehensive economic sanctions",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions ""include broad-based trade restrictions and prohibit commercial activity with an entire country"" (GAO 2019, p. 4).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"Member of the implementing institution","Member of the implementing institution","The target is a member of the implementing institution.","Non-member of the implementing institution.","The target is not a member of the implementing institution.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,0,"The target is a member of the implementing institution.",0.5,"Weaker",NA,"Comprehensive economic sanctions_tool"
"68","International organization implementer","Comprehensive economic sanctions",6,2,1,3,0.5,0,2,4,0,0,1,2,1,2,"Adverse consequences, Conflict, Human rights violations, Mass atrocities, Violence against civilians","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions ""include broad-based trade restrictions and prohibit commercial activity with an entire country"" (GAO 2019, p. 4).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"International organization implementer","International organization implementer","The tool implementer is an international governmental organization.","Non-international organization implementer","The tool implementer is not an international governmental organization.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is an international governmental organization.",0,"Weaker",NA,"Comprehensive economic sanctions_tool"
"69","Threat of use of tool","Comprehensive economic sanctions",4,1,1,2,0,0,0,4,0,0,1,1,1,1,"Conflict, Human rights violations, Mass atrocities","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions ""include broad-based trade restrictions and prohibit commercial activity with an entire country"" (GAO 2019, p. 4).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"Threat of use of tool","Threat of use of tool","The tool implementer threatens the use of the tool.","No threat of use of tool","The tool implementer does not threaten the use of the tool.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer threatens the use of the tool.",0,"Weaker",NA,"Comprehensive economic sanctions_tool"
"70","Skilled implementer","Mediation",5,5,0,0,2.5,2.5,0,5,0,0,0,5,0,0,"Conflict, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Skilled implementer","Skills","The tool implementer is highly competent in the use of the tool.","Poorly-informed implementer","The tool implementer is incompetent in the use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is highly competent in the use of the tool.",2.5,"Moderate",NA,"Mediation_tool"
"71","Experienced implementer","Mediation",4,3,0,1,1.5,1.25,0,4,0,0,0,3,0,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Experienced implementer","Experience","The tool implementer was previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.","Poorly-informed implementer","The tool implementer was not previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer was previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.",1.25,"Moderate",NA,"Mediation_tool"
"72","Civilian component","Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Civilian component","Civilian_component","The peace operation has a large civilian component.","No civilian component","The peace operation does not have a large civilian component.","Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The peace operation has a large civilian component.",0.5,"Weaker",NA,"Peace operations_tool"
"73","Domestic justice or human rights infrastructure","Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Domestic justice or human rights infrastructure","Domestic justice or human rights infrastructure","The country under study has a well-developed domestic justice infrastructure, has many human rights organizations, and/or has ratified international human rights treaties.","Limited domestic justice or human rights infrastructure","The country under study (1) has a poorly-developed domestic justice infrastructure; (2) has few human rights organizations; or (3) has not ratified key human rights treaties.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The country under study has a well-developed domestic justice infrastructure, has many human rights organizations, and/or has ratified international human rights treaties.",0.5,"Weaker",NA,"Peace operations_tool"
"74","No use of safe areas","Peace operations",1,0,1,0,-1,-1,0,1,0,1,0,0,0,0,"Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Use of safe areas","Use_of_safe_areas","The peace operation uses safe areas.","No use of safe areas","The peace operation does not use safe areas.","Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,1,"The peace operation does not use safe areas.",1,"Weaker",NA,"Peace operations_tool"
"75","Willingness/ability to use force","Peace operations",3,2,1,0,1.5,1.5,0,3,2,0,0,0,1,0,"Conflict, Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Willingness/ability to use force","Ability_to_use_force","The tool implementer is willing and able to use force.","Absence of willingness/ability to use force","The tool implementer is unwilling or unable to use force.","Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The tool implementer is willing and able to use force.",1.5,"Moderate",NA,"Peace operations_tool"
"76","Awareness of tool","Amnesties",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Awareness of tool","Awareness_tool","The target is aware that the tool is being implemented.","Unawareness of tool","The target is not aware that the tool is being implemented","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,0,"The target is aware that the tool is being implemented.",0.5,"Weaker",NA,"Amnesties_tool"
"77","Weak non-state armed group","Amnesties",2,0,2,0,-1,-1,0,2,0,0,0,0,2,0,"Conflict, Human rights violations, Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Strong non-state armed group","Strong NSAG","Non-state armed group(s) are strong or have a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak non-state armed group","The non-state armed group in the conflict is weak and has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"The non-state armed group in the conflict is weak and has a low degree of resilience, adaptability, military experience, power, or territorial control.",1,"Weaker",NA,"Amnesties_tool"
"78","Concurrent use of multiple tools","Amnesties",4,2,0,2,1,0.5,0,4,0,0,0,2,0,2,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Concurrent use of multiple tools","Multi_tool","The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.","Single tool","No actors are implementing tools that are consistent with the goals of the tool.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.",0.5,"Weaker",NA,"Amnesties_tool"
"79","No safe haven for perpetrator","Amnesties",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict, Violence against civilians","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Safe haven for perpetrator","Safe haven for perpetrator","Perpetrator(s) of mass atrocities very likely have access to territory where they would be shielded from the tool's effects.","No safe haven for perpetrator","There is a low likelihood that the perpetrator of mass atrocities has access to territory that shields them from the tool's effects.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"There is a low likelihood that the perpetrator of mass atrocities has access to territory that shields them from the tool's effects.",0.5,"Weaker",NA,"Amnesties_tool"
"80","Implementer has strong leverage","Amnesties",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Human rights violations, Mass atrocities","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Implementer has strong leverage","Implementer leverage","The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.","Implementer has weak leverage","The tool implementer (1) has a low degree of relative power in the international system, (2) is not a member of the “Permanent Five” (P5) countries on the UN Security Council, or (3) has weak leverage over the conflict parties","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.",0.5,"Weaker",NA,"Amnesties_tool"
"81","Committed implementer","Mediation",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",1,"Weaker",NA,"Mediation_tool"
"82","Cohesive conflict parties","Mediation",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Cohesive conflict parties","Cohesiveness of conflict parties","The conflict parties are internally unified.","Splintered conflict parties","The conflict parties are splintered.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The conflict parties are internally unified.",1,"Weaker",NA,"Mediation_tool"
"83","Neutral venue for mediation","Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Neutral venue for mediation","Neutral venue","The mediation is held in a neutral venue.","Biased venue for mediation.","The mediation is held in a biased venue.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation is held in a neutral venue.",0.5,"Weaker",NA,"Mediation_tool"
"84","Conflict party initiates mediation","Mediation",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Conflict party initiates mediation","Conflict_party_initiates_mediation","The mediation is initiated by one of the parties to the conflict in which mass atrocities are occurring, rather than a third-party actor.","Third party initiates mediation","The mediation is initiated by a third party actor, rather than one of the parties to the conflict in which mass atrocities are occurring.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation is initiated by one of the parties to the conflict in which mass atrocities are occurring, rather than a third-party actor.",1,"Weaker",NA,"Mediation_tool"
"85","Not a secessionist conflict","Mediation",6,2,4,0,-1,-1,0,6,0,0,0,2,4,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Secessionist conflict","War of secession","The country is experiencing a conflict that concerns a party’s effort to establish an independent state on part of the territory claimed by a state.","Not a secessionist conflict","The country is not experiencing a conflict that concerns a party’s effort to establish an independent state on part of the territory claimed by a state.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"The country is not experiencing a conflict that concerns a party’s effort to establish an independent state on part of the territory claimed by a state.",1,"Weaker",NA,"Mediation_tool"
"86","International support or coordination","Arms embargoes",6,6,0,0,3,3,0,6,0,0,0,6,0,0,"Adverse consequences, Conflict, Human rights violations, Mass atrocities, Violence against civilians","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"International support or coordination","International support or coordination","There is a high degree of international support for the use of the tool, or the tool implementer coordinates with other international actors on the use of the tool.",NA,NA,"Design","International dynamics",0,0,0,0,0,1,0,NA,NA,NA,0,"There is a high degree of international support for the use of the tool, or the tool implementer coordinates with other international actors on the use of the tool.",3,"Moderate",NA,"Arms embargoes_tool"
"87","Committed implementer","Arms embargoes",5,5,0,0,2.5,2.5,0,5,0,0,0,5,0,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",2.5,"Moderate",NA,"Arms embargoes_tool"
"88","Absence of external assistance or foreign troops","Arms embargoes",4,0,4,0,-2,-2,0,4,0,0,0,0,4,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"External assistance or foreign troops","External_assistance","There are foreign troops active in the ongoing conflict situation or external actors are offering assistance to the conflict parties.","Absence of external assistance or foreign troops","There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.",2,"Moderate",NA,"Arms embargoes_tool"
