Interview,Description,Factor type,Suggested final interview code,"Suggested final code description (from Dedoose codes, if possible)",Equivalent code in Dedoose?,"Description of greater effectiveness factor (via analytic guide or, if ""No"" in Column F, new)",No or mixed effect for factor?,Direction of no_mixed_effect vote,1,2,3,4,5,6,7,8,9,10,11,12,13
PMC_COOP,Cooperation of PMCs like Wagner group with PK,Design,PMC_COOP,Private military contractors cooperate with the tool,No,Private military contractors involved in the conflict cooperate with the tool.,No,,,,,,,,,1,,,,,
AGDA_PROT,"""2020 agenda for protection (i.e., Each mission must do a thorough assessment about the threat to the population / resources needed, develop a strategy for protection of civilians)""",Design,POC_PRIORI,Protection of civilians mandate,Yes,The peace operation has a mandate to protect civilians.,No,,,,,,,1,,,,,,,
MAND_MA,Specific mandate for preventing mass atrocities instead of just civilian doctrine,Contextual,POC_PRIORI,Protection of civilians mandate,Yes,The peace operation has a mandate to protect civilians.,No,,,,,,,,,,,1,,,
MISS_MAND,"""Mission is mandated to politically support negotiations to prevent violence and operationally protect civilians from imminent harm""",Design,POC_PRIORI,Protection of civilians mandate,Yes,The peace operation has a mandate to protect civilians.,No,,,,,1,,,,,,,,,
MISS_STRAT,"""Mission-wide strategy on PoC""",Design,POC_PRIORI,Protection of civilians mandate,Yes,The peace operation has a mandate to protect civilians.,No,,,,,1,,,,,,,,,
MISS_WHOLE,Whole of mission working toward POC,Design,POC_PRIORI,Protection of civilians mandate,Yes,The peace operation has a mandate to protect civilians.,No,,,,,,,,,,,,,1,
POC_PREV,"""Whole of mission is working on protection of civilians, especially on the prevention side (e.g., Nicholas Haysom in South Sudan) """,Design,POC_PRIORI,Protection of civilians mandate,Yes,The peace operation has a mandate to protect civilians.,No,,,,,,,,,,1,,,,
POC_PRIORI,Priotization of PKs in protecting civilians,Design,POC_PRIORI,Protection of civilians mandate,Yes,The peace operation has a mandate to protect civilians.,No,,,,,,1,,,,,,,,
PROT_MAND,Strongly worded mandates (clauses) for civilian protection to look at atrocities,Contextual,POC_PRIORI,Protection of civilians mandate,Yes,The peace operation has a mandate to protect civilians.,No,,1,,1,,,,,,,1,,,
STRAT_COMMS,"""Strategic communications to dispel mis/disinformation about mission or conflict """,Design,STRAT_COMMS,Public communication,Yes,The use of the tool is communicated or publicized widely.,No,,,,,,1,,,,,,,1,
FCN_POL,Functioning political processes that are advancing to peacemaking,Contextual,POL_CMT,Ripeness,Yes,The parties to the conflict perceive a negotiated resolution as in their mutual interest.,No,,,,,,,,,,,,,1,
POL_CMT,Political committment to ending conflict ,Contextual,POL_CMT,Ripeness,Yes,The parties to the conflict perceive a negotiated resolution as in their mutual interest.,No,,,,,1,,,,1,,,,,
POL_RECON,Political Reconciliation System ,Contextual,POL_CMT,Ripeness,Yes,The parties to the conflict perceive a negotiated resolution as in their mutual interest.,No,,,,,,,,,,1,,,,
RIPE_PEA,"""Ripeness for Peace Operations""",Design,POL_CMT,Ripeness,Yes,The parties to the conflict perceive a negotiated resolution as in their mutual interest.,No,,,,1,,,,,,,,,,
STMT,"""Self-hurting stalemate""",Design,POL_CMT,Ripeness,Yes,The parties to the conflict perceive a negotiated resolution as in their mutual interest.,No,,,,,,,,1,,,,,,
AB_GOV,Ability to govern,Contextual,AB_GOV,Strong government,Yes,"The national government is strong, or has a high degree of resilience, adaptability, military experience, power, or territorial control.",No,,,,,,,,,,,1,,,
LEAD,"""Implementer has strong leadership who believes in preventing atrocities""",Contextual,LEAD,Implementer has strong leadership,Yes,The tool implementer has strong leadership.,No,,,,,1,,,,,,,,,
LEAD_DF,Leadership (design factor),Contextual,LEAD,Implementer has strong leadership,Yes,The tool implementer has strong leadership.,No,,,,,1,,,1,,,,,,
LEAD_QUAL,"""Quality of leadership in missions. Includes SRSGs, force commanders, chiefs of staff.""",Contextual,LEAD,Implementer has strong leadership,Yes,The tool implementer has strong leadership.,No,,,,,,,,,,,,,1,
SRSG,"""Right SRSG and force commander""",Contextual,LEAD,Implementer has strong leadership,Yes,The tool implementer has strong leadership.,No,,,,,,,1,,,,,,,
UN_CONF,Confidence of UN hiearchy in the field ,Design,LEAD,Implementer has strong leadership,Yes,The tool implementer has strong leadership.,No,,,,,,,1,,,,,,,
ABS_SPOIL,Absence of Spoiler Group ,Contextual,ABS_SPOIL,Strong spoiler groups,Yes,There are powerful groups that have the desire and capacity to disrupt or damage peace initiatives in the country under study.,No,Negative,,,,1,1,,,,,,,,
TRNTL_GRP,Transnational (terror) group,Contextual,TRNTL_GRP,Target is a terror group,Yes,The target is a terror group.,No,Negative,,,,,,,,1,,,,,
SPEC_POL,"""Special Political missions""",Contextual,SPEC_POL,The peace operation is a Special Political Mission,No,The peace operation has a Special Political Mission mandate.,No,,,,,,,,1,,,,,,
SPM_LEV,"""A lot less leverage than the multidimensional missions (in context of SPMs)""",Contextual,SPEC_POL,The peace operation is a Special Political Mission,No,The peace operation has a Special Political Mission mandate.,No,,,,,,,,,,,,,1,
CAP_TRAIN,Capacity of training,Design,CAP_POC,Civilian protection capacity,No,The peace operation has training and sufficient resources to support civilian protection goals.,No,,,,,,,,,,,,,,1
MILI_QUAL,"""Mindset, posture, and quality of military / police components. Developed tools to assess performance of military units. Have cadre of troop-contributing countries that they know are serious in their work.""",Contextual,CAP_MON,Monitoring and adjustment,Yes,The success of the tool is monitored and the tool is adjusted to maximize success.,No,,,,,,,,,,,,,1,
TROOP_PREP,The PK forces are not prepared to enforce the mandate and step in to protect civilians,Design,CAP_POC,Civilian protection capacity,No,The peace operation has training and sufficient resources to support civilian protection goals.,No,,,,,,,,,,,1,,,
UN,UN-supported or sanctioned mission,Contextual,UN_MAND,UN mandate,Yes,"The peacekeeping mission is operating under a UN mandate. (Note - For our review, we assume that findings associated with a regional mandate can be considered equivalent to findings associated with a non-UN mandate.)",No,,,,1,,,,,,1,,,,
UN_MAND,UN mandate,Contextual,UN_MAND,UN mandate,Yes,"The peacekeeping mission is operating under a UN mandate. (Note - For our review, we assume that findings associated with a regional mandate can be considered equivalent to findings associated with a non-UN mandate.)",No,,,,,1,1,,,,,,,,
SEC_CMT,Security Council Committment to authorize action,Contextual,UNI_SEC,Unified UN Security Council,No,The UN Security Council is unified in support of the peace operation.,No,,,1,1,,,,,,1,,,1,
UNI_SEC,Unified Security council,Contextual,UNI_SEC,Unified UN Security Council,No,The UN Security Council is unified in support of the peace operation.,No,,,,,,,,,,,1,,,
NEI_INVOLVE,Involvement of neighboring actors ,Contextual,NEI_INVOLVE,Regional use of tool,Yes,The tool is being implemented by neighboring countries or a regional organization.,Yes,Negative,,,,,,,,,,1,,,
WILL_DON,"""Willing donor countries from the region [mixed effect]""",Design,NEI_INVOLVE,Regional use of tool,Yes,The tool is being implemented by neighboring countries or a regional organization.,Yes,No or mixed effect,,,,,,,,,1,,,,
PK_PRES,"""Peacekeeping force has presence (different than large peacekeeping force) """,Contextual,PK_PRES,Widespread deployment of peacekeeping forces,No,The peace operation is deployed across a large proportion of the country in which the conflict is taking place.,No,,,,,,1,,,,,,,,
PKO_LOC,"""PKO is able to have presence where atrocities are taking place """,Contextual,PK_PRES,Widespread deployment of peacekeeping forces,No,The peace operation is deployed across a large proportion of the country in which the conflict is taking place.,No,,,,,,1,,,,,,,,
SIZE_PK,Ratio of Peacekeepers relative to size of country ,Contextual,PK_PRES,Widespread deployment of peacekeeping forces,No,The peace operation is deployed across a large proportion of the country in which the conflict is taking place.,No,,,,,,,,,,,,,1,
