"","Name.Final","tool_name","Tool","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final","vote_count","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool"
"97","Committed implementer","Comprehensive economic sanctions","Comprehensive economic sanctions_tool",3,2,0,1,1,0.5,0,3,0,0,1,2,0,0,"Conflict, Human rights violations, Mass atrocities","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions are “coercive economic measures taken against a target to bring about a change in behavior” (CRS 2021, p. 1). Comprehensive sanctions “block the government and include broad-based trade restrictions” (Treasury OFAC).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",0.5,"Weaker",NA,"Relatively weak",NA,"Comprehensive economic sanctions_tool"
"98","History of tool use","Comprehensive economic sanctions","Comprehensive economic sanctions_tool",1,1,0,0,1,1,0,1,1,0,0,0,0,0,"Mass atrocities","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions are “coercive economic measures taken against a target to bring about a change in behavior” (CRS 2021, p. 1). Comprehensive sanctions “block the government and include broad-based trade restrictions” (Treasury OFAC).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"History of tool use","History of tool use","The tool has been used in the country’s history.","No history of tool use","The tool has not been used in the country’s history.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The tool has been used in the country’s history.",1,"Weaker",NA,"Relatively weak",NA,"Comprehensive economic sanctions_tool"
"99","No history of conflict","Mediation","Mediation_tool",2,0,2,0,-1,-1,0,2,0,0,0,0,2,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"History of conflict","History of conflict","The parties to the conflict or the country under study has a history of violent conflict.","No history of conflict","Neither the parties to the conflict nor the country under study has a history of violent conflict.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"Neither the parties to the conflict nor the country under study has a history of violent conflict.",1,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"100","International organization implementer","Targeted sanctions","Targeted sanctions_tool",1,1,0,0,0.5,0.5,1,0,0,0,0,1,0,0,"Adverse consequences","Coercive measures that target the assets or activities of individuals or corporations","Targeted sanctions are “coercive economic measures taken against a target to bring about a change in behavior.” Targeted sanctions, which aim at specific individuals or entities, include “blocking of foreign assets under U.S. jurisdiction [and] prohibition on economic transactions [with sanctions targets] that involve U.S. citizens or businesses” (CRS 2021, p. 1). (Note that some studies reviewed consider arms embargoes as a type of targeted sanction. The Simon-Skjodt Center also reviewed evidence on arms embargoes separately due to the depth of research on the use and effects of this tool specifically.)","If targeted sanctions raise the individual costs on the commission of atrocities, they will reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by freezing or seizing assets), reputational, or political. In addition, if targeted sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they will reduce the likelihood or severity of mass atrocities (Krain 2017; Lopez 2015).","Operational","Yes",1,1,0,1,0,1,0,1,1,"International organization implementer","International organization implementer","The tool implementer is an international governmental organization.","Non-international organization implementer","The tool implementer is not an international governmental organization.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is an international governmental organization.",0.5,"Weaker","Weaker","Relatively weak","Relatively weak","Targeted sanctions_tool"
"101","Non-corrupt","Targeted sanctions","Targeted sanctions_tool",1,0,1,0,-0.5,-0.5,1,0,0,0,0,0,1,0,"Adverse consequences","Coercive measures that target the assets or activities of individuals or corporations","Targeted sanctions are “coercive economic measures taken against a target to bring about a change in behavior.” Targeted sanctions, which aim at specific individuals or entities, include “blocking of foreign assets under U.S. jurisdiction [and] prohibition on economic transactions [with sanctions targets] that involve U.S. citizens or businesses” (CRS 2021, p. 1). (Note that some studies reviewed consider arms embargoes as a type of targeted sanction. The Simon-Skjodt Center also reviewed evidence on arms embargoes separately due to the depth of research on the use and effects of this tool specifically.)","If targeted sanctions raise the individual costs on the commission of atrocities, they will reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by freezing or seizing assets), reputational, or political. In addition, if targeted sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they will reduce the likelihood or severity of mass atrocities (Krain 2017; Lopez 2015).","Operational","Yes",1,1,0,1,0,1,0,1,1,"Corrupt","Corrupt","The target engages in corrupt activities.","Non-corrupt","The target does not engage in corrupt activities.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,1,"The target does not engage in corrupt activities.",0.5,"Weaker","Weaker","Relatively weak","Relatively weak","Targeted sanctions_tool"
"102","Non-corrupt","Comprehensive economic sanctions","Comprehensive economic sanctions_tool",1,0,1,0,-0.5,-0.5,1,0,0,0,0,0,1,0,"Adverse consequences","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions are “coercive economic measures taken against a target to bring about a change in behavior” (CRS 2021, p. 1). Comprehensive sanctions “block the government and include broad-based trade restrictions” (Treasury OFAC).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"Corrupt","Corrupt","The target engages in corrupt activities.","Non-corrupt","The target does not engage in corrupt activities.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,1,"The target does not engage in corrupt activities.",0.5,"Weaker",NA,"Relatively weak",NA,"Comprehensive economic sanctions_tool"
"103","Target lacks access to resources","Targeted sanctions","Targeted sanctions_tool",2,0,1,1,-0.5,-0.25,0,2,0,0,0,0,1,1,"Conflict, Human rights violations","Coercive measures that target the assets or activities of individuals or corporations","Targeted sanctions are “coercive economic measures taken against a target to bring about a change in behavior.” Targeted sanctions, which aim at specific individuals or entities, include “blocking of foreign assets under U.S. jurisdiction [and] prohibition on economic transactions [with sanctions targets] that involve U.S. citizens or businesses” (CRS 2021, p. 1). (Note that some studies reviewed consider arms embargoes as a type of targeted sanction. The Simon-Skjodt Center also reviewed evidence on arms embargoes separately due to the depth of research on the use and effects of this tool specifically.)","If targeted sanctions raise the individual costs on the commission of atrocities, they will reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by freezing or seizing assets), reputational, or political. In addition, if targeted sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they will reduce the likelihood or severity of mass atrocities (Krain 2017; Lopez 2015).","Operational","Yes",1,1,0,1,0,1,0,1,1,"Target has access to resources","Access to resources","The target has access to resources, such as oil or gemstones.","Target lacks access to resources","The target lacks access to resources, such as oil or gemstones, to continue the conflict.","Contextual","Target characteristics",0,0,1,0,0,0,0,1,15,0.0666666666666667,1,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",0.25,"Weaker","Weaker","Relatively weak","Relatively weak","Targeted sanctions_tool"
"104","Concurrent use of multiple tools","Targeted sanctions","Targeted sanctions_tool",2,1,0,1,0.5,0,0,2,0,0,1,1,0,0,"Human rights violations, Mass atrocities","Coercive measures that target the assets or activities of individuals or corporations","Targeted sanctions are “coercive economic measures taken against a target to bring about a change in behavior.” Targeted sanctions, which aim at specific individuals or entities, include “blocking of foreign assets under U.S. jurisdiction [and] prohibition on economic transactions [with sanctions targets] that involve U.S. citizens or businesses” (CRS 2021, p. 1). (Note that some studies reviewed consider arms embargoes as a type of targeted sanction. The Simon-Skjodt Center also reviewed evidence on arms embargoes separately due to the depth of research on the use and effects of this tool specifically.)","If targeted sanctions raise the individual costs on the commission of atrocities, they will reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by freezing or seizing assets), reputational, or political. In addition, if targeted sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they will reduce the likelihood or severity of mass atrocities (Krain 2017; Lopez 2015).","Operational","Yes",1,1,0,1,0,1,0,1,1,"Concurrent use of multiple tools","Multi_tool","The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.","Single tool","No actors are implementing tools that are consistent with the goals of the tool.","Design","Implementer choices",0,0,0,1,0,0,0,7,15,0.466666666666667,0,"The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.",0,"Weaker","Moderate","Relatively weak","Moderate","Targeted sanctions_tool"
"105","Degrade or constrain","Targeted sanctions","Targeted sanctions_tool",1,1,0,0,1,1,0,1,1,0,0,0,0,0,"Mass atrocities","Coercive measures that target the assets or activities of individuals or corporations","Targeted sanctions are “coercive economic measures taken against a target to bring about a change in behavior.” Targeted sanctions, which aim at specific individuals or entities, include “blocking of foreign assets under U.S. jurisdiction [and] prohibition on economic transactions [with sanctions targets] that involve U.S. citizens or businesses” (CRS 2021, p. 1). (Note that some studies reviewed consider arms embargoes as a type of targeted sanction. The Simon-Skjodt Center also reviewed evidence on arms embargoes separately due to the depth of research on the use and effects of this tool specifically.)","If targeted sanctions raise the individual costs on the commission of atrocities, they will reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by freezing or seizing assets), reputational, or political. In addition, if targeted sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they will reduce the likelihood or severity of mass atrocities (Krain 2017; Lopez 2015).","Operational","Yes",1,1,0,1,0,1,0,1,1,"Degrade or constrain","Degrade_constrain","The implementer uses the tool to degrade or constrain the capacity of potential perpetrators.",NA,NA,"Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The implementer uses the tool to degrade or constrain the capacity of potential perpetrators.",1,"Weaker","Weaker","Relatively weak","Relatively weak","Targeted sanctions_tool"
"106","Religious target","Targeted sanctions","Targeted sanctions_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Coercive measures that target the assets or activities of individuals or corporations","Targeted sanctions are “coercive economic measures taken against a target to bring about a change in behavior.” Targeted sanctions, which aim at specific individuals or entities, include “blocking of foreign assets under U.S. jurisdiction [and] prohibition on economic transactions [with sanctions targets] that involve U.S. citizens or businesses” (CRS 2021, p. 1). (Note that some studies reviewed consider arms embargoes as a type of targeted sanction. The Simon-Skjodt Center also reviewed evidence on arms embargoes separately due to the depth of research on the use and effects of this tool specifically.)","If targeted sanctions raise the individual costs on the commission of atrocities, they will reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by freezing or seizing assets), reputational, or political. In addition, if targeted sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they will reduce the likelihood or severity of mass atrocities (Krain 2017; Lopez 2015).","Operational","Yes",1,1,0,1,0,1,0,1,1,"Religious target","Religious","The target is a religious individual or group.","Non-religious target","The target is a non-religious individual or group.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,0,"The target is a religious individual or group.",0.5,"Weaker","Weaker","Relatively weak","Relatively weak","Targeted sanctions_tool"
"107",NA,"Targeted sanctions","Targeted sanctions_tool",1,0,1,0,-1,-1,0,1,0,1,0,0,0,0,"Mass atrocities","Coercive measures that target the assets or activities of individuals or corporations","Targeted sanctions are “coercive economic measures taken against a target to bring about a change in behavior.” Targeted sanctions, which aim at specific individuals or entities, include “blocking of foreign assets under U.S. jurisdiction [and] prohibition on economic transactions [with sanctions targets] that involve U.S. citizens or businesses” (CRS 2021, p. 1). (Note that some studies reviewed consider arms embargoes as a type of targeted sanction. The Simon-Skjodt Center also reviewed evidence on arms embargoes separately due to the depth of research on the use and effects of this tool specifically.)","If targeted sanctions raise the individual costs on the commission of atrocities, they will reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by freezing or seizing assets), reputational, or political. In addition, if targeted sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they will reduce the likelihood or severity of mass atrocities (Krain 2017; Lopez 2015).","Operational","Yes",1,1,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-1,"Weaker","Weaker","Relatively weak","Relatively weak","Targeted sanctions_tool"
"108","Consistent implementation","Mediation","Mediation_tool",3,2,1,0,0.5,0.5,0,3,0,0,0,2,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"109","Unofficial mediation","Mediation","Mediation_tool",3,1,2,0,-0.5,-0.5,0,3,0,0,0,1,2,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Official mediation","Official_mediation","The mediation is track 1 or official diplomacy. (Note - For our review, we assume that findings associated with track 2, 1.5, or unofficial mediation can be considered equivalent to findings associated with non-official mediation.)","Unofficial mediation","The mediation is track 2 or 1.5 or unofficial diplomacy.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,1,"The mediation is track 2 or 1.5 or unofficial diplomacy.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"110","Local outreach","Mediation","Mediation_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Local outreach","Local outreach","The tool implementer makes efforts to reach out to local communities or the host government to build better relationships.","Absence of local outreach","The tool implementer makes no efforts to reach out to local communities or the host government to build better relationships.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer makes efforts to reach out to local communities or the host government to build better relationships.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"111","History of compromise","Mediation","Mediation_tool",3,3,0,0,1.5,1.5,0,3,0,0,0,3,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"History of compromise","History of compromise","There is a history of compromise or a high degree of trust between conflict parties.","No history of compromise","There is no history of compromise or a low degree of trust between conflict parties.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"There is a history of compromise or a high degree of trust between conflict parties.",1.5,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"112","Mediation includes diverse actors","Mediation","Mediation_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Mediation includes diverse actors","Inclusive of diverse actors","The mediation includes diverse actors.","Mediation excludes diverse actors","The mediation excludes diverse actors.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation includes diverse actors.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"113","Neutral venue for mediation","Mediation","Mediation_tool",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Neutral venue for mediation","Neutral venue","The mediation is held in a neutral venue.","Biased venue for mediation.","The mediation is held in a biased venue.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation is held in a neutral venue.",1,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"114","Target lacks access to resources","Arms embargoes","Arms embargoes_tool",2,0,2,0,-1,-1,0,2,0,0,0,0,2,0,"Conflict","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"Target has access to resources","Access to resources","The target has access to resources, such as oil or gemstones.","Target lacks access to resources","The target lacks access to resources, such as oil or gemstones, to continue the conflict.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,1,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",1,"Weaker",NA,"Relatively weak",NA,"Arms embargoes_tool"
"115","Concurrent use of multiple tools","Arms embargoes","Arms embargoes_tool",7,7,0,0,3.5,3.5,0,7,0,0,0,7,0,0,"Conflict","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes",1,1,0,0,1,0,0,1,0,"Concurrent use of multiple tools","Multi_tool","The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.","Single tool","No actors are implementing tools that are consistent with the goals of the tool.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.",3.5,"Stronger",NA,"Relatively strong",NA,"Arms embargoes_tool"
"116","Balance of power or stalemate","Mediation","Mediation_tool",9,5,2,2,1.5,1,0,9,0,0,0,5,2,2,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Balance of power or stalemate","Balance of power or stalemate","The national government and non-state armed group(s) have similar levels of resilience, adaptability, military experience, power, or territorial control.",NA,NA,"Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The national government and non-state armed group(s) have similar levels of resilience, adaptability, military experience, power, or territorial control.",1,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"117","Weak government","Mediation","Mediation_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Strong government","Strong government","The national government is strong, or has a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak government","The government in the conflict is weak or has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"The government in the conflict is weak or has a low degree of resilience, adaptability, military experience, power, or territorial control.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"118","Low intensity conflict","Mediation","Mediation_tool",6,0,5,1,-2.5,-2.25,0,6,0,0,0,0,5,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"High intensity conflict","High intensity conflict","The country is experiencing a conflict characterized by high-intensity fighting or a high death toll.","Low intensity conflict","The country is experiencing a conflict characterized by low-intensity fighting or a low death toll.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"The country is experiencing a conflict characterized by low-intensity fighting or a low death toll.",2.25,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"119","International organization implementer","Mediation","Mediation_tool",9,2,2,5,0,0,0,9,0,0,0,2,2,5,"Conflict, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"International organization implementer","International organization implementer","The tool implementer is an international governmental organization.","Non-international organization implementer","The tool implementer is not an international governmental organization.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is an international governmental organization.",0,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"120","Committed implementer","Prosecutions","Prosecutions_tool",18,18,0,0,14.5,14.5,0,18,11,0,0,7,0,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",14.5,"Stronger",NA,"Relatively strong",NA,"Prosecutions_tool"
